league,match_seq,cum_pnl
"Chile, Primera División",27,460.0
"Chile, Primera División",28,560.0
"Chile, Primera División",29,360.0
"Chile, Primera División",30,460.0
"Chile, Primera División",31,560.0
"Chile, Primera División",32,660.0
"Chile, Primera División",33,760.0
"Chile, Primera División",34,860.0
"Chile, Primera División",35,960.0
"Chile, Primera División",36,1060.0
"Chile, Primera División",37,1160.0
"Chile, Primera División",38,1260.0
"Chile, Primera División",39,1360.0
"Chile, Primera División",40,1460.0
"Chile, Primera División",41,1560.0
"Chile, Primera División",42,1310.0
"Chile, Primera División",43,1120.0
"Chile, Segunda División",1,100.0
"Chile, Segunda División",2,200.0
"Chile, Segunda División",3,-10.0
"Chile, Segunda División",4,-270.0
"Chile, Segunda División",5,-170.0
"Chile, Segunda División",6,-430.0
"Chile, Segunda División",7,-330.0
"Chile, Segunda División",8,-230.0
"Chile, Segunda División",9,-130.0
"Chile, Segunda División",10,-30.0
"Chile, Segunda División",11,70.0
"Croatia, HNL",1,100.0
"Croatia, HNL",2,200.0
"Croatia, HNL",3,300.0
"Croatia, HNL",4,60.0
"Croatia, HNL",5,160.0
"Croatia, HNL",6,260.0
"Croatia, HNL",7,360.0
"Croatia, HNL",8,160.0
"Croatia, HNL",9,260.0
"Croatia, HNL",10,360.0
"Croatia, HNL",11,460.0
"Croatia, HNL",12,230.00000000000003
"Croatia, HNL",13,330.0
"Croatia, HNL",14,430.0
"Croatia, HNL",15,530.0
"Croatia, HNL",16,630.0
"Croatia, HNL",17,730.0
"Croatia, HNL",18,500.0
"Cyprus, 1. Division",1,100.0
"Cyprus, 1. Division",2,200.0
"Cyprus, 1. Division",3,300.0
"Cyprus, 1. Division",4,400.0
"Cyprus, 1. Division",5,500.0
"Cyprus, 1. Division",6,600.0
"Denmark, Superliga",1,100.0
"Denmark, Superliga",2,200.0
"Denmark, Superliga",3,-50.0
"Denmark, Superliga",4,50.0
"Denmark, Superliga",5,150.0
"Denmark, Superliga",6,250.0
"Denmark, Superliga",7,350.0
"Denmark, Superliga",8,450.0
"Denmark, Superliga",9,550.0
"Denmark, Superliga",10,650.0
"Denmark, Superliga",11,750.0
"Denmark, Superliga",12,850.0
"Denmark, Superliga",13,950.0
"Denmark, Superliga",14,1050.0
